id,date,ticker,tweet,Open,High,Low,close,Adj Close,Volume
100007,2020-01-02,AAPL,$AAPL $300 calls First trade of 2020 Congrats to all bulls 😈,74.05999755859375,75.1500015258789,73.79750061035156,75.0875015258789,73.15264892578125,135480400
100008,2020-01-02,AAPL,"$AAPL Remember, if you short every day, one of those days you will be right 😏",74.05999755859375,75.1500015258789,73.79750061035156,75.0875015258789,73.15264892578125,135480400
100009,2020-01-02,AAPL,"$AAPL called it, the bear comment below makes me chuckle inside. So sweeet 😜",74.05999755859375,75.1500015258789,73.79750061035156,75.0875015258789,73.15264892578125,135480400
100010,2020-01-02,HD,$HD Bought more at today's low. She is turning. Stars aligned.🤞,74.05999755859375,75.1500015258789,73.79750061035156,75.0875015258789,73.15264892578125,135480400
100011,2020-01-02,AAPL,Apple is taking things UP in 2020 🚀🚀 $AAPL,74.05999755859375,75.1500015258789,73.79750061035156,75.0875015258789,73.15264892578125,135480400
100012,2020-01-02,AAPL,$AAPL not a bad day wish I wouldnt have sold those 20 300 calls on monday. Still took a decent profit for next week calls though 🤑🤑,74.05999755859375,75.1500015258789,73.79750061035156,75.0875015258789,73.15264892578125,135480400
100013,2020-01-02,AAPL,$AAPL where are all the peeps posting bearish since $200🤣,74.05999755859375,75.1500015258789,73.79750061035156,75.0875015258789,73.15264892578125,135480400
100014,2020-01-03,NVDA,$NVDA This should be at least 300 already 🤔💹💸💸,74.2874984741211,75.1449966430664,74.125,74.35749816894531,72.44145965576172,146322800
100015,2020-01-03,AAPL,$AAPL tomorrow buy time on the dip then green 🐋🏛💰,74.2874984741211,75.1449966430664,74.125,74.35749816894531,72.44145965576172,146322800
100016,2020-01-03,AAPL,$AAPL Thanks for that dip. Let the bears talk their gibberish and ignore it. 😆,74.2874984741211,75.1449966430664,74.125,74.35749816894531,72.44145965576172,146322800
100017,2020-01-03,AAPL,$AAPL leave enough red to buy calls at open 🙏,74.2874984741211,75.1449966430664,74.125,74.35749816894531,72.44145965576172,146322800
100018,2020-01-03,AAPL,$AAPL short this bears 🖕🖕🖕. Never go against Apple.,74.2874984741211,75.1449966430664,74.125,74.35749816894531,72.44145965576172,146322800
100019,2020-01-03,TSLA,$TSLA  I must rise to a level where winning does not elate  me and losing does not deflate me. But it's not going to happen today.😊😊😊😊,74.2874984741211,75.1449966430664,74.125,74.35749816894531,72.44145965576172,146322800
100020,2020-01-03,TSLA,$TSLA shorts are f u c k e d 💣,74.2874984741211,75.1449966430664,74.125,74.35749816894531,72.44145965576172,146322800
100021,2020-01-03,TSLA,$TSLA Don’t short. It’s a Trap lol 😂 see you at 7% + up day,74.2874984741211,75.1449966430664,74.125,74.35749816894531,72.44145965576172,146322800
100022,2020-01-03,AMZN,$AMZN who ever shorted today will be deported from US if you are immigrants 😀,74.2874984741211,75.1449966430664,74.125,74.35749816894531,72.44145965576172,146322800
100023,2020-01-03,TSLA,$TSLA 🐻 not see anything like this with Tesla stock in the last 3 years. It'll be an EPIC year in 2020 when model Y roll out in summer.,74.2874984741211,75.1449966430664,74.125,74.35749816894531,72.44145965576172,146322800
100024,2020-01-03,TSLA,$TSLA  can one hear the bear as it cries in the forest?😂😂😂,74.2874984741211,75.1449966430664,74.125,74.35749816894531,72.44145965576172,146322800
